
chunk_size=1024, chunk_len=265, mag_len=271000
1>chunk_idx=246, left_mag_idx=251904, right_mag_idx=252927
1>chunk_idx=247, left_mag_idx=252928, right_mag_idx=253951
1>chunk_idx=248, left_mag_idx=253952, right_mag_idx=254975
1>chunk_idx=249, left_mag_idx=254976, right_mag_idx=255999
1>chunk_idx=250, left_mag_idx=256000, right_mag_idx=257023
1>chunk_idx=251, left_mag_idx=257024, right_mag_idx=258047
1>chunk_idx=252, left_mag_idx=258048, right_mag_idx=259071
1>chunk_idx=253, left_mag_idx=259072, right_mag_idx=260095
1>chunk_idx=254, left_mag_idx=260096, right_mag_idx=261119
1>chunk_idx=255, left_mag_idx=261120, right_mag_idx=262143
1>chunk_idx=256, left_mag_idx=262144, right_mag_idx=263167
1>chunk_idx=257, left_mag_idx=263168, right_mag_idx=264191
1>chunk_idx=258, left_mag_idx=264192, right_mag_idx=265215
1>chunk_idx=259, left_mag_idx=265216, right_mag_idx=266239
1>chunk_idx=260, left_mag_idx=266240, right_mag_idx=267263
1>chunk_idx=261, left_mag_idx=267264, right_mag_idx=268287
1>chunk_idx=262, left_mag_idx=268288, right_mag_idx=269311
1>chunk_idx=263, left_mag_idx=269312, right_mag_idx=270335
2>chunk_idx=264, left_mag_idx=270336, right_mag_idx=270999

chunk_len=265, META_SIZE=100, meta_len=3
1>meta_idx=0, left_chunk_idx=0, right_chunk_idx=99
1>meta_idx=1, left_chunk_idx=100, right_chunk_idx=199
2>meta_idx=2, left_chunk_idx=200, right_chunk_idx=264
